project;hash;msg;relevance
kubernetes/website;669322a78c1643188d21591b977d07cab13219af;"kubeadm/create-cluster: add warning about admin.conf

Add warning that the file must not be shared as it has super powers
that cannot be revoked.";0
kubernetes/website;c189c2d162e5e283272551aca2e43130bd654054;"Update docs to reflect newly support shells with autocompletions (#29610)

* Update docs to reflect newly support shells with autocompletions

* Update Windows docs to use Powershell instead of zsh

* Adds a bit more explanation of the different lines.

* Apply suggestions from code review

Co-authored-by: Tim Bannister <tim@scalefactory.com>

* Apply PR suggestions

Co-authored-by: Tim Bannister <tim@scalefactory.com>";0
kubernetes/website;51802636f97822459234ee89823ee08644db8ede;"Update scale-intro.html (pt-br)

The doc version for brazilian portuguese scale-intro page seems to be generated by an AI powered engine, which is not quite right and/or specific as the original one.

This PR changes a few words and a bit of the structure of the phrase in the pt-br doc, using de original (en) version as source of information.";0
kubernetes/website;11f5db4461ef9206447c102cec9c54cee7b894d4;"storage: Minor fixes to Windows projected volumes

- Add missing period
- Link to projected volume permission KEP instead of PR
- Add missing PowerShell command";0
kubernetes/website;095c52a590a893fbf4cd2e18eef9d7ff3c1a9cd7;"Fix powershell install script

Setting powershell variables container only numbers does not work with multiple periods (at least on Powershell 5.1). Using quotes is necessary.";0
kubernetes/website;3aed543250e12121a70a4e1e02a097c81ac68c95;"Merge pull request #31581 from jeremy-morren/jeremy-morren-doc-updates

Fix powershell install script";0
kubernetes/website;e025825f0231585c4f7a6d23ee1e178c11bf9573;"Merge pull request #31865 from mitul3737/new-branch

[en] Solved some typos ""hostname of FQDN"" and ""PowerShell""";0
kubernetes/website;18f27a074341b8cb4fa66697847465b67650705c;Add powershell markdown syntax;0
flutter/website;09cc24adfbc2c873b02a24c4089c002a57615e01;"Correcting Swift error in platform-channels.md (#1080)

Update to receiveBatteryLevel in Swift example to prevent this error on build: ""error: call to method 'receiveBatteryLevel' in closure requires explicit 'self.' to make capture semantics explicit.""  This affects both simulated and physical iOS devices in Swift-based apps.";0
flutter/website;df036687538574b9ed3949030776f1649287d491;"Update Windows pages (#1678)

* Update _get-sdk-win.md

A few minor tweaks to the Windows instructions. Make the language more Windows user-centric; update the environment variable process to be more resilient to Windows 10 Control Panel / Settings changes; remove unnecessary mention of Dart SDK.

* Update _get-sdk-win.md

Minor tweak for consistency of terminology for command prompt and console.

* Update windows.md

Fix broken link to Windows PowerShell

* fix broken PowerShell link

* remove unnecessary param from URL";0
flutter/website;25f5a9e6c5ceb6584b3cdd2c445dcce6caa52d6d;"fix typo (#2747)

samples.flutter.de/battery -> samples.flutter.dev/battery";0
flutter/website;456f04054704cda981176ed5c0d4c619b49d37b6;Fix powershell link in windows setup page (#3252);0
flutter/website;afd21dc1f5efbec76c21522d8dd4df1781f6b52e;"added windows where command note (#5533)

* added windows where command note

* fixed path

* highlighted powershell

* added comma

* fixed powershell paragraph";0
flutter/website;233d619258fdb5b119cfbb918fcc99e9aa8b3ff0;fixed link to point to battery plus package (#7276);0
flutter/website;805188ec28aaa34ea230f175b677eff8d20222f2;"Temporarily comment out mentions to memory perf doc like battery entry (#8250)

* Temporarily comment out mentions to memory perf doc like battery entry

* Add issue links";0
flutter/website;45e24c73656c52b5792b961845990e7a880a73e9;Replace battery package link with battery_plus (#8385);0
flutter/website;dfb22c7cdda1c426aaf444d583c99938222af9df;"Bump flutter from `9cd3d0d` to `f92f441` (#8830)

Bumps [flutter](https://github.com/flutter/flutter) from `9cd3d0d` to
`f92f441`.
<details>
<summary>Commits</summary>
<ul>
<li><a
href=""https://github.com/flutter/flutter/commit/f92f44110e87bad5ff168335c36da6f6053036e6""><code>f92f441</code></a>
[flutter_releases] Flutter stable 3.10.3 Framework Cherrypicks (<a
href=""https://redirect.github.com/flutter/flutter/issues/128086"">#128086</a>)</li>
<li><a
href=""https://github.com/flutter/flutter/commit/cceba44c8e392e8fdd2810efe178a269e1aeecbd""><code>cceba44</code></a>
[CP] fix: Search anchor box location when used on nested navigator (<a
href=""https://redirect.github.com/flutter/flutter/issues/127696"">#127696</a>)</li>
<li><a
href=""https://github.com/flutter/flutter/commit/7d52adf29a2a35a1ac696b251ff6ade692902358""><code>7d52adf</code></a>
[CP] Append $flutter/osx sdk property to existing platforms/targets
relyin… (...</li>
<li><a
href=""https://github.com/flutter/flutter/commit/c48ceda6b53b20e9de1c9f79b2742848e5b877fd""><code>c48ceda</code></a>
CP: [Linux] Ignore deprecation of libupower call in example (<a
href=""https://redirect.github.com/flutter/flutter/issues/127503"">#127503</a>)
(<a
href=""https://redirect.github.com/flutter/flutter/issues/127528"">#127528</a>)</li>
<li>See full diff in <a
href=""https://github.com/flutter/flutter/compare/9cd3d0d9ff05768afa249e036acc66e8abe93bff...f92f44110e87bad5ff168335c36da6f6053036e6"">compare
view</a></li>
</ul>
</details>
<br />


Dependabot will resolve any conflicts with this PR as long as you don't
alter it yourself. You can also trigger a rebase manually by commenting
`@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits
that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after
your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge
and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating
it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop
Dependabot creating any more for this major version (unless you reopen
the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop
Dependabot creating any more for this minor version (unless you reopen
the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop
Dependabot creating any more for this dependency (unless you reopen the
PR or upgrade to it yourself)


</details>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>";0
babel/website;7dc4638628bf333ba79de48d1f9d9b24c5f281e6;New User: PowerReviews. Resolves #243;0
babel/website;98a03f38a574421eb78d6ba80413700d4cea5dea;"add 7.11 release post (#2304)

* add 7.11 release post

* fix: add more language snippet title

* fix: update PowerShell usage

* Update 2020-07-30-7.11.0.md

* Update website/blog/2020-07-30-7.11.0.md

Co-authored-by: Nicolò Ribaudo <nicolo.ribaudo@gmail.com>

* Update website/blog/2020-07-30-7.11.0.md

* Update website/blog/2020-07-30-7.11.0.md

* Update 2020-07-30-7.11.0.md

* Update 2020-07-30-7.11.0.md

* Update website/blog/2020-07-30-7.11.0.md

Co-authored-by: Nicolò Ribaudo <nicolo.ribaudo@gmail.com>
Co-authored-by: Henry Zhu <hi@henryzoo.com>
Co-authored-by: Brian Ng <bng412@gmail.com>";0
babel/website;3465952b816ad28050c98a69bcd1f50039bc6311;"Fix broken links (#2726)

* fix broken links

* enable powershell syntax highlight

* make docs sidebar hideable

* eslint

* fix spacing issue in MDX anchors";0
emberjs/website;74457efb1df47f9048196c1a649a408a89327306;More powerful colour for the active link;0
emberjs/website;90ccabb355727fc5fb6654d954e36e9b10174e29;"Merge pull request #39 from Nerian/patch-2

More powerful colour for the active link";0
emberjs/website;e296e4b7c4d46f2fa26be9af53880c9821e73eff;"disable container docs. It should be considered ""internal"" api for.
Powerusers should feel comfortable, but some good improvements are
planned.";0
emberjs/website;1a2fabe8997b4cc857f6a466e6cef1743fb9a30b;added Locus Energy logo;0
emberjs/website;21d64f7acc14563c013b5f1c06264795541856c6;"Merge pull request #2174 from LocusEnergy/master

added Locus Energy logo";0
emberjs/website;eec654e418582ffff1226bc2dea0436618833301;"Merge pull request #2953 from sivakumar-kailasam/patch-2

Use the new versioned api docs powered by ember";0
yarnpkg/website;df8fd8442ee59048c943779c112d114a1727f3a0;"docs(windows): replace markdown code powershell by sh (#608)

To keep consistancy of the docs.";0
yarnpkg/website;192b26965416db65a9fcbce01e62891976eb00e2;"Add powershell ls alias per @bestander request (#682)

https://github.com/yarnpkg/yarn/pull/3898

Also tighten intro to Powershell (current Windows versions run powershell as default shell from Win+x, don't include cmd anymore)";0
letsencrypt/website;d14a46d2ce026f9d28aa25e3c90a374925c54127;Add acme-powerdns python client (#205);0
letsencrypt/website;a352a9f59d285031e906a2aaac6b3fc8008fb639;"Fix link to GetSSL - Azure Automation (#392)

And make it reliable for future versions:
https://www.powershellgallery.com/packages/GetSSL-LetsEncrypt/1.4.3/DisplayScript -> https://www.powershellgallery.com/packages/GetSSL-LetsEncrypt/ (that currently redirects to https://www.powershellgallery.com/packages/GetSSL-LetsEncrypt/1.4.7 )";0
letsencrypt/website;c57d70babf81c0d4cbc9b6709c67860c66cb58ca;"Enable 2019 merch fundraiser (#588)

This PR embeds code onto the donation page to allow individual giving
for merchandise. It's powered by Shopify.

Changes include:

- Added fundraiser.html shortcode which contains all of the
markup/embeds for the fundraiser.  - Added _fundraiser.scss for a few
additional styles, included in main.scss - Included the shortcode on
all languages donate.html page. It's in English, was told that would
be OK.

By default, the fundraiser is hidden by a style in _fundraiser.scss,
you can change that when you want to enable the fundraiser.

Following last year's fundraiser, you'll need to update the CSP to
include Shopify's url used in the embed (https://sdks.shopifycdn.com).";0
mono/website;470eec3bdc568664d1cb8925b17f0e304ce0a9a9;"Some fixes in `Languages' page

* Refresh info about MCS language versions.
* F# now have official website. Fixed.
* Boo changed home. There is no separate page with language features now. Fixed.
* IronPython now have official website. Fixed.
* Fixed Oberon.NET link.
* Fixed Delphi Prism link.
* Fixed Component Pascal link.
* Fixed Delta Forth link.
* Fixed #Smalltalk link.
* IronRuby now have official website. Fixed.
* Phalanger now have VS 2010 support, text fixed.
* Tachy have only github page. Link fixed.
* Brian Ritchie moved dotnetpowered to bitbucket. Link fixed.

I can't find any link to Ruby.Net from Queensland University.";0
CodingTrain/website-archive;6f213852d47d2536233b0a744320d8f0fd335ad6;"update gentic programming example for TSP

Using the 8th power for the fitness-function as described in your tutorial https://www.youtube.com/watch?v=HzaLIO9dLbA&feature=youtu.be&t=3m00s
Now, even 30 cities results in a nice route.";0
CodingTrain/website-archive;253cf1c9333edcfda60636e684e89deffbdbcd9e;"Update 93-double-pendulum.md

https://www.openprocessing.org/sketch/507468

Written a few weeks ago and fits very nicely to the coding challenge. Especially it answers the question from your video why the order of speed and position integration matters (I'll also add a comment to the youtube video or somewhere else on this) --> it changes the integration mode from explicit euler (large integration error, accumulates energy) to symplectic euler (way better accuracy)...";0
CodingTrain/website-archive;7cf94e28c005485bd758915eb459f1ae397b595f;"Edit l.41 for digit count. Animation without using Pi

https://editor.p5js.org/tht-jxny/full/RG9tqIJqN Fullscreen version for PI Collision Animation without using PI. To change number of digits modify line 41 to a mass thats a power of 100. I've created this animation before the CodingTrain Video came out based on 3Blue1Brown's video so its neither OOP nor can it deal with more than 4 digits (at least not my pc :D). To try more just reduce the initial velocity.";0
kubeflow/website;bdc0145c1fa6297e5c737d45411dc82f26c96a0b;"rm RFMVasconcelos (#2981)

Dear community,

In the last 2 years, I have had the great pleasure to be part of the community building this amazing open-source tool. I am quite satisfied in feeling that I left a small dent in the overall experience for new users.

Today I see my path take a different course, which I am excited to invest my full energy into. ??

I was also very lucky to work on Canonical's distribution - which I leave in the great hands of @knkski  @DomFleischmann and more. 

If you want to stay in touch, please connect via LinkedIn.

I nominate @knkski to take on some of the responsibilities I held, in his own capacity, given his 3 years of dedication to Kubeflow.

With Gratitude,
Rui";0
dotnet-foundation/website;9443317d1fd9ae6fe9ac51a6dc56ce24909b6cc9;"Merge pull request #399 from eNeRGy164/patch-1

Create michaël-hompus.md";0
tachiyomiorg/website;d59a5b5ac28225eaa898ce463dc6d66e9f902e45;"Add FAQ spoilers and fixed a typo.

Added FAQ spoilers powered by ""vuepress-plugin-container"".";0
tachiyomiorg/website;941439f98233231b84d5e74e29615cbd964571ac;"Add ""This site is powered by Netlify"" to Index footer (#589)

* Add ""This site is powered by Netlify"" to Index footer

* Make svg into its own file";0
golang/website;b88f0ddf7c5d0afb7f18cd94921d577f64c54ce7;"[x/blog] content: minor update

Removal of phrase ""like Power"".

Change-Id: I2f7edd6cbd77b72ca449dde1c6d35929a11da61d
Reviewed-on: https://go-review.googlesource.com/c/blog/+/190409
Run-TryBot: Lynn Boger <laboger@linux.vnet.ibm.com>
Reviewed-by: Carmen Andoh <candoh@google.com>
Reviewed-by: Andrew Bonventre <andybons@golang.org>
TryBot-Result: Gobot Gobot <gobot@golang.org>
X-Blog-Commit: cd9c7db29b815fd4e93402ad0d31b631aa2a6746";0
golang/website;7abfa1c76cc126258bd6e6832b516979bbe7df02;"[x/go.dev] all: replace Page-level custom data with inline data

The idea of providing YAML-based data to Page rendering is
very powerful, so keep it. But move the data itself to the place
where it is used, which is much clearer.

Change-Id: I264484ae82b7003f1fb375911b9d2f6b692e51f0
X-GoDev-Commit: 96beef81258f0df3621c436fa6e6b7b19711906c";0
golang/website;d52a65716c2453d820ccef65a65491026e17ba5f;"_content/doc: fix go mod edit for PowerShell

""-replace=foo.com=bar.com"" triggers this bug in PowerShell:
https://github.com/PowerShell/PowerShell/issues/6291
The go command accepts ""-replace foo.com=bar.com"" just fine. Use that
instead.

Fixes #44924.

Change-Id: I854ea86282db425a2707c641b0500208b4869870
Reviewed-on: https://go-review.googlesource.com/c/website/+/330229
Trust: Heschi Kreinick <heschi@google.com>
Run-TryBot: Heschi Kreinick <heschi@google.com>
TryBot-Result: Go Bot <gobot@golang.org>
Reviewed-by: Steve Traut <straut@google.com>";0
golang/website;c386b489b936684cb7763d4585a440afee680626;"cmd/locktrigger: add fix for Cloud Build race

When a project uses “continuous deployment powered by Cloud Build”,
the deployment is a little bit too continuous: when multiple commits
land in a short time window, Cloud Build will run all the triggered
build jobs in parallel. If each job does “gcloud app deploy”, there
is no guarantee which will win: perhaps an older commit will complete
last, resulting in the newest commit not actually being the final
deployed version of the site. This should probably be fixed in
“continuous deployment powered by Cloud Build”, but until then,
locktrigger works around the problem.

Use locktrigger in cmd/golangorg/cloudbuild.yaml to ensure that
when multiple commits race, the newest one always runs its
go-app-deploy.sh last.

Change-Id: I5ca340250d0a3b7853fc478d35caffdd0163bb0f
Reviewed-on: https://go-review.googlesource.com/c/website/+/368365
Trust: Russ Cox <rsc@golang.org>
Run-TryBot: Russ Cox <rsc@golang.org>
TryBot-Result: Gopher Robot <gobot@golang.org>
Reviewed-by: Dmitri Shuralyov <dmitshur@golang.org>";0
asyncapi/website;1cc064de33234e64ce1558edce4c70c76907af2b;"Add GitHub Actions powered stale bot and new contrib welcome (#60)

* Add welcome message handling with GH action

* Add stale issues handing GH action";0
ethereum/ethereum-org-website;6bbaaba7e072d33d6525f4298dfa0b5871aec48f;Edited energy section of NFTs;0
ethereum/ethereum-org-website;6d3a1ab173764c4626163d97ae10816e1bc3d145;added some more stuff on energy and eth2;0
ethereum/ethereum-org-website;23acd2078ae6549ad32e721ea3a5e7bc9bb80be2;"Merge pull request #2775 from PowerStream3604/patch-1

Create send-token-etherjs.md";0
ethereum/ethereum-org-website;a2c702b76e133de2d170468af1b79c32e01f20a3;"Merge pull request #3016 from ethereum/all-contributors/add-PowerStream3604

docs: add PowerStream3604 as a contributor";0
ethereum/ethereum-org-website;e97239c4098189fef4e01d9174c928087f8534cc;add energy consumption page;0
ethereum/ethereum-org-website;6f01e306afda697e816d5cc385a2cdc9f5d79c67;Align energy calculations with Carl´s article [Fixes #3072];0
ethereum/ethereum-org-website;22d6b360bc47b85b1d3aeb4a1c4da54fb9949588;"Merge pull request #3777 from joakimengerstam/energycalc

Align energy calculations with Carl´s article [Fixes #3072]";0
ethereum/ethereum-org-website;d63b5bc086255da1ee2c5b96f89692a5ec4899ee;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;2079d73086255c861bf456efa86138d6ea61f8d9;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;414459c329070cb84094505d5e2a7a93912172bf;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;297c29dcdbdcc73ef3fdc4567b00fb371cdb2110;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;84c8b1e1206e9712eeb5d749a4ec48b5cc1b00d2;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;efb04d3a320750d778123de7ffb82ae8f4c9de75;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;58ab1484f3d31cc72ecf7de29de1b8f84af1170d;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;dd7a1843d7724d98105abb2d9cbb820b3b75db95;"Merge pull request #4032 from MrBrain295/#3950

99.98% -> 99.95% Energy Reduction in ETH2 in NFT Page";0
ethereum/ethereum-org-website;fee08280f18009a94f243274be2d079a9e9979db;Update src/content/energy_consumption/index.md;0
ethereum/ethereum-org-website;7d2cd6bce36601b3152b2cf56cebabb45cd69928;"Merge pull request #3650 from jmcook1186/dev

Add Ethereum energy consumption page";0
ethereum/ethereum-org-website;c802fa49eb91c6bd9cb835b547e770faf291e9bd;Update energy article copy and rename;0
ethereum/ethereum-org-website;89d67a60c01c49d85bac6be0b49a54c2755a08a7;Add energy page to navigation, add breadcrumbs string;0
ethereum/ethereum-org-website;6f837cbca6e3521fd879ab1acb8583bfb0770a31;"Merge pull request #4776 from ethereum/updateEnergyConsumption

Update energy consumption page";0
ethereum/ethereum-org-website;8f162b15432db0b764f0744ce83df6eaaf9e6911;"Grammatical corrections in energy-consumption doc

Correction on typo, re-word and redundant";0
ethereum/ethereum-org-website;278fc99e7816140e9fa9ec5538b2cd6062ceb42c;"Merge pull request #4823 from bskrksyp9/patch-29

Grammatical corrections in energy-consumption doc";0
ethereum/ethereum-org-website;056d347bb6553920c2fc6faf3d502d6f5a50358d;Fix ETH powers Ethereum;0
ethereum/ethereum-org-website;05df6f9d35b3b9617b1bc1b7aa27d3661150082e;"Update src/content/energy-consumption/index.md

Co-authored-by: Joshua <62268199+minimalsm@users.noreply.github.com>";0
ethereum/ethereum-org-website;fa06867213e6cbd7933b7bac83f31b8bf9b5f33e;"Update src/content/energy-consumption/index.md

Co-authored-by: Joshua <62268199+minimalsm@users.noreply.github.com>";0
ethereum/ethereum-org-website;27ec44eba4503fdb542b02b53a69ba31d972a908;"Update src/content/energy-consumption/index.md

Co-authored-by: Joshua <62268199+minimalsm@users.noreply.github.com>";0
ethereum/ethereum-org-website;25770687b1a6c503584ff513faff7a3316c794c5;"Merge pull request #4924 from skylarweaver/patch-10

Improve readability & accuracy on Energy consumption page";0
ethereum/ethereum-org-website;473327845de1ff300d5dd08e8bd7ceb6ecee167d;add link to energy consumption article;0
ethereum/ethereum-org-website;1ee293abcef97b3d8e77eb51ec5ec02469817fcb;"Merge pull request #5386 from jmcook1186/dev

add link to energy consumption page ""further reading""";0
ethereum/ethereum-org-website;034b3b92f9740993d2b31aef1c081e46dc0f6771;Add link to /energy-consumption;0
ethereum/ethereum-org-website;f126fc38a0091ffbc45c287c157c0fd676511a6a;initial commit for pre-merge energy-consumption pg;0
ethereum/ethereum-org-website;6e6b5dcf621f26778d7bc6a5ce8f8d5b3af8fff3;"Apply suggestions from code review

update energy-consumption according to @minimalsm review

Co-authored-by: Joshua <62268199+minimalsm@users.noreply.github.com>";0
ethereum/ethereum-org-website;cb0bdab68084e859d9cc3ce403369121f73bca5e;incorporate TBs suggestionsto energy page;0
ethereum/ethereum-org-website;40d276eb9ba5b8f801daf56b6ec4c7e5aadd8f6f;"Update src/content/energy-consumption/index.md

Co-authored-by: Sam Richards <sbrichards@gmail.com>";0
ethereum/ethereum-org-website;8dbaabe59cbe26e3f3bebd86ae743f7c0a90ce59;"Merge pull request #6599 from ethereum/pre-merge

Merge and energy consumption pages pre-merge updates";0
ethereum/ethereum-org-website;8bee0c7911c8c72ff4f2cd11e9989501e577eec5;adds energy expenditure graph;0
ethereum/ethereum-org-website;d1061e8c96a8c4a666917816ca75819c0da68715;add energy consumption chart;0
ethereum/ethereum-org-website;f646e184595bf34e06aa28b25661e1675f152fb0;"Merge pull request #6832 from jmcook1186/energy-image

adds energy expenditure graph to energy page";0
ethereum/ethereum-org-website;fe0bd8c3358287e8a5bc57ed4ccee0498822e0a0;update ceaveats in energy stats text;0
ethereum/ethereum-org-website;91827cede1e52d86735f9163fda022711e44a136;Update src/content/translations/tr/energy-consumption/index.md;0
ethereum/ethereum-org-website;28345a3b4bce507cb060633f7cdb16a046ca6be2;add types to energy consumption chart;0
ethereum/ethereum-org-website;73453b26dda4297bd011bf337a9ac8d54c046896;hide columns in energy consumption chart when on mobile;0
ethereum/ethereum-org-website;9aa55eb65d7ea6206daa5aa4bc8b38bcece0f138;"Merge pull request #6906 from jmcook1186/update-energy-stats

refine energy-stats text";0
ethereum/ethereum-org-website;b3283ed8c27835f168af0f9918d1ba0fe273ae2a;Update src/content/energy-consumption/index.md;0
ethereum/ethereum-org-website;03648832f5056779d16e9c856251eb9e6881a0d0;Fix typo in Ethereum energy consumption page;0
ethereum/ethereum-org-website;050257ecde159cc7e6fb222de4aa94b9e6120f33;"Merge pull request #7108 from ErikSaunier/patch-1

Fix typo in Ethereum energy consumption page  [Fixes #7107]";0
ethereum/ethereum-org-website;85d8c5dfdba83f91d2c1e7718d9f394e71ee1013;"Update src/content/energy-consumption/index.md

Co-authored-by: Corwin Smith <cssmittys@gmail.com>";0
ethereum/ethereum-org-website;2792c98b10eadc5513e930190b4cf4d8768f715d;"Merge pull request #7087 from ethereum/ethereum-energy-vision

Add link to Ethereum vision page";0
ethereum/ethereum-org-website;d0c0ee65ae87f25499613089de9bf4d85f2a08e7;"Merge pull request #7076 from jmcook1186/energy-consumption-page

update energy page w pos-merge content";0
ethereum/ethereum-org-website;2865d7c7f4a03d3403d516cbccafcf7fe0d5ce6c;"Typo on energy-consumption index.md 

ReFI -> ReFi";0
ethereum/ethereum-org-website;b6b84f4b104681e8d1d665890289643299d080f0;"Merge pull request #7294 from HiroyukiNaito/dev

Typo on energy-consumption index.md";0
ethereum/ethereum-org-website;0a6693b9290375c6ae2b55e7ab51427d90fe79b3;"Merge pull request #7393 from hursittarcan/devhursittypofix

Fixed typo on Ethereum energy consumption page [Fixes #7389]";0
ethereum/ethereum-org-website;d6dacd9dff4fc14a91f8c613f8d26617bbc145b2;"refactor: update EnergyConsumptionChart

Pulls props into component as these will not change. Implements Chakra.";0
ethereum/ethereum-org-website;3e8efbae81daf900a5fa2782de626ed203090a0c;"fix: EnergyConsumptionChart replacement

Removing accidental ""AdoptionChart""";0
ethereum/ethereum-org-website;37aa9b104ed4ee88e87c821030ff91a9d47847b1;"Merge pull request #7825 from ethereum/energy-consumption-chart

Energy consumption chart update";0
ethereum/ethereum-org-website;8dbddce93b0537c6a81dbb7bdf42901d7a45f5bb;"Updated link to raspberry pi docs

updated link to raspberry pi (ethereum on arm) docs on energy consumption page";0
ethereum/ethereum-org-website;c18f36c30d4d499b82b4ae43a5f6948aa0c3ff95;"Merge pull request #7936 from ethereum/jc-energy

rm gridlines and update label on energy plot";0
ethereum/ethereum-org-website;1184919801d3a0a58f12499d85da9e8d1b91da9b;"Merge pull request #8293 from UliGall/patch-1

Inclusion of novel estimates for the energy consumption of Ethereum post-Merge (PoS)";0
ethereum/ethereum-org-website;26c6a92150e619ee7be9d11151f9a5939f59d200;initial commit for energy updates;0
